Gene A Standard Name,Gene B Standard Name,Experiment,Interaction Type,Annotation Type,Gene A Interaction Role,Interaction Method,PubMed ID,Reference,Human Homolog A,Human Homolog B
NPL4,CDC48,"Hitchcock AL, et al. (2001)-11598205-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,11598205,"Hitchcock AL, et al. (2001) The conserved npl4 protein complex mediates proteasome-dependent membrane-bound transcription factor activation. Mol Biol Cell 12(10):3226-41",55666,7415
GIN4,NAP1,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",23387,4673
GRH1,URE2,"Tarassov K, et al. (2008)-18467557-PCA",physical,high-throughput,Bait,PCA,18467557,"Tarassov K, et al. (2008) An in vivo map of the yeast protein interactome. Science 320(5882):1465-70",26003,54332
CDC20,HSL1,Burton JL and Solomon MJ (2007)-17369399-Reconstituted Complex,physical,manually curated,Bait,Reconstituted Complex,17369399,"Burton JL and Solomon MJ (2007) Mad3p, a pseudosubstrate inhibitor of APCCdc20 in the spindle assembly checkpoint. Genes Dev 21(6):655-67",991,4139
BRF1,SNU13,"Bhalla P, et al. (2019)-30593915-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,30593915,"Bhalla P, et al. (2019) Interactome of the yeast RNA polymerase III transcription machinery constitutes several chromatin modifiers and regulators of the genes transcribed by RNA polymerase II. Gene 702:205-214",55290,4809
SSB1,SAS5,"Gong Y, et al. (2009)-19536198-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19536198,"Gong Y, et al. (2009) An atlas of chaperone-protein interactions in Saccharomyces cerevisiae: implications to protein folding pathways in the cell. Mol Syst Biol 5:275",3303,4298
MEX67,DBP5,"Oeffinger M, et al. (2007)-17922018-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,17922018,"Oeffinger M, et al. (2007) Comprehensive analysis of diverse ribonucleoprotein complexes. Nat Methods 4(11):951-6",56001,29118
ACS2,SNP1,"Fromont-Racine M, et al. (1997)-9207794-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,9207794,"Fromont-Racine M, et al. (1997) Toward a functional analysis of the yeast genome through exhaustive two-hybrid screens. Nat Genet 16(3):277-82",84532,6625
CDC25,FUS3,"Cherkasova VA, et al. (2003)-12867033-Biochemical Activity",physical,manually curated,Hit,Biochemical Activity,12867033,"Cherkasova VA, et al. (2003) A novel functional link between MAP kinase cascades and the Ras/cAMP pathway that regulates survival. Curr Biol 13(14):1220-6",5923,5594
MOG1,DDL1,"Oliete-Calvo P, et al. (2018)-30249596-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,30249596,"Oliete-Calvo P, et al. (2018) A role for Mog1 in H2Bub1 and H3K4me3 regulation affecting RNAPII transcription and mRNA export. EMBO Rep 19(11)",29098,23259
STE11,STE11,"Jansen G, et al. (2001)-11370856-Two-hybrid",physical,manually curated,Hit,Two-hybrid,11370856,"Jansen G, et al. (2001) Mutations in the SAM domain of STE50 differentially influence the MAPK-mediated pathways for mating, filamentous growth and osmotolerance in Saccharomyces cerevisiae. Mol Genet Genomics 265(1):102-17",4214,29959
CMK1,CMD1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",815,9478
SGS1,TOP3,"Fricke WM, et al. (2001)-11124263-Co-fractionation",physical,manually curated,Hit,Co-fractionation,11124263,"Fricke WM, et al. (2001) Mapping the DNA topoisomerase III binding domain of the Sgs1 DNA helicase. J Biol Chem 276(12):8848-55",7486,8940
SNF1,TEF2,"Nicastro R, et al. (2015)-26309257-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,26309257,"Nicastro R, et al. (2015) Snf1 Phosphorylates Adenylate Cyclase and Negatively Regulates Protein Kinase A-dependent Transcription in Saccharomyces cerevisiae. J Biol Chem 290(41):24715-26",5562,1915
CLN2,RGA1,"Archambault V, et al. (2004)-15200949-Affinity Capture-Western",physical,high-throughput,Hit,Affinity Capture-Western,15200949,"Archambault V, et al. (2004) Targeted proteomic study of the cyclin-Cdk module. Mol Cell 14(6):699-711",899,83478
LSM6,LSM1,"Chowdhury A, et al. (2007)-17513695-Co-purification",physical,manually curated,Hit,Co-purification,17513695,"Chowdhury A, et al. (2007) The decapping activator Lsm1p-7p-Pat1p complex has the intrinsic ability to distinguish between oligoadenylated and polyadenylated RNAs. RNA 13(7):998-1016",11157,27257
DBF2,CDC36,"Liu HY, et al. (1998)-9463387-Two-hybrid",physical,manually curated,Hit,Two-hybrid,9463387,"Liu HY, et al. (1998) The NOT proteins are part of the CCR4 transcriptional complex and affect gene expression both positively and negatively. EMBO J 17(4):1096-106",1760,4848
TCB1,TCB1,"Babu M, et al. (2012)-22940862-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22940862,"Babu M, et al. (2012) Interaction landscape of membrane-protein complexes in Saccharomyces cerevisiae. Nature 489(7417):585-9",148281,84258
PDB1,HSP82,"Girstmair H, et al. (2019)-31399574-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,31399574,"Girstmair H, et al. (2019) The Hsp90 isoforms from S. cerevisiae differ in structure, function and client range. Nat Commun 10(1):3626",7086,10131
SSB2,PRS4,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Bait,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",3304,5634
CAJ1,CRN1,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",64215,7464
MYO1,SPR3,"Drees BL, et al. (2001)-11489916-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,11489916,"Drees BL, et al. (2001) A protein interaction map for cell polarity development. J Cell Biol 154(3):549-71",132320,4735
TAF9,HHT1,"Gilmore JM, et al. (2012)-22199229-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22199229,"Gilmore JM, et al. (2012) Characterization of a highly conserved histone related protein, Ydl156w, and its functional associations using quantitative proteomic analyses. Mol Cell Proteomics 11(4):M111.011544",51616,3020
EFT1,HHF1,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",1938,8360
HHF1,HTA1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",8361,85235
LAS17,VMA6,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",7454,9114
ACE2,HDA2,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Bait,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",9314,79155
RPL23B,RKR1,"Lyumkis D, et al. (2014)-25349383-Affinity Capture-MS",physical,manually curated,Hit,Affinity Capture-MS,25349383,"Lyumkis D, et al. (2014) Structural basis for translational surveillance by the large ribosomal subunit-associated protein quality control complex. Proc Natl Acad Sci U S A 111(45):15981-6",9349,26046
AAC3,RPN11,"Kaake RM, et al. (2010)-20170199-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20170199,"Kaake RM, et al. (2010) Characterization of cell cycle specific protein interaction networks of the yeast 26S proteasome complex by the QTAX strategy. J Proteome Res 9(4):2016-29",291,10213
CKA1,PSR2,"Breitkreutz A, et al. (2010)-20489023-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,20489023,"Breitkreutz A, et al. (2010) A global protein kinase and phosphatase interaction network in yeast. Science 328(5981):1043-6",1457,10217
GDI1,YPT31,Calero M and Collins RN (2002)-11785952-Two-hybrid,physical,manually curated,Hit,Two-hybrid,11785952,Calero M and Collins RN (2002) Saccharomyces cerevisiae Pra1p/Yip3p interacts with Yip1p and Rab proteins. Biochem Biophys Res Commun 290(2):676-81,1122,57111
TRM1,SMT3,"Sung MK, et al. (2013)-23403034-PCA",physical,high-throughput,Hit,PCA,23403034,"Sung MK, et al. (2013) Genome-wide bimolecular fluorescence complementation analysis of SUMO interactome in yeast. Genome Res 23(4):736-46",81627,6613
HHF1,RPS3,"Gavin AC, et al. (2006)-16429126-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16429126,"Gavin AC, et al. (2006) Proteome survey reveals modularity of the yeast cell machinery. Nature 440(7084):631-6",8364,6188
RAD53,DUN1,"Chen ES, et al. (2017)-28858528-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,28858528,"Chen ES, et al. (2017) Phospho-Priming Confers Functionally Relevant Specificities for Rad53 Kinase Autophosphorylation. Biochemistry 56(38):5112-5124",1641,11200
CHC1,YAP1801,Wendland B and Emr SD (1998)-9531549-Reconstituted Complex,physical,manually curated,Hit,Reconstituted Complex,9531549,"Wendland B and Emr SD (1998) Pan1p, yeast eps15, functions as a multivalent adaptor that coordinates protein-protein interactions essential for endocytosis. J Cell Biol 141(1):71-84",8218,9892
PHO85,SSE1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Bait,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",1020,10808
MPP10,CDC3,"Wang Y, et al. (2012)-22875988-Two-hybrid",physical,high-throughput,Hit,Two-hybrid,22875988,"Wang Y, et al. (2012) Coiled-coil networking shapes cell molecular machinery. Mol Biol Cell 23(19):3911-22",10199,1731
RAS2,RAS1,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",6236,5898
SNT2,HHF2,"Singh RK, et al. (2012)-22570702-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,22570702,"Singh RK, et al. (2012) Novel E3 ubiquitin ligases that regulate histone protein levels in the budding yeast Saccharomyces cerevisiae. PLoS One 7(5):e36295",8028,8361
TMA108,VMA2,"Delaveau T, et al. (2016)-27580715-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,27580715,"Delaveau T, et al. (2016) Tma108, a putative M1 aminopeptidase, is a specific nascent chain-associated protein in Saccharomyces cerevisiae. Nucleic Acids Res 44(18):8826-8841",290,526
HTB1,CTK1,"Wyce A, et al. (2007)-17643376-Affinity Capture-Western",physical,manually curated,Hit,Affinity Capture-Western,17643376,"Wyce A, et al. (2007) H2B ubiquitylation acts as a barrier to Ctk1 nucleosomal recruitment prior to removal by Ubp8 within a SAGA-related complex. Mol Cell 27(2):275-88",8348,8558
SSA2,CMK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",3309,79012
DAP2,TPK3,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",2191,5616
NMA1,SSA1,"Truman AW, et al. (2015)-26217697-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,26217697,"Truman AW, et al. (2015) The quantitative changes in the yeast Hsp70 and Hsp90 interactomes upon DNA damage. Data Brief 2:12-5",349565,3312
HRR25,YPT1,"Wang J, et al. (2015)-26195667-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,26195667,"Wang J, et al. (2015) Ypt1/Rab1 regulates Hrr25/CK1δ kinase activity in ER-Golgi traffic and macroautophagy. J Cell Biol 210(2):273-85",1454,5865
STL1,SAC7,"Garre E, et al. (2018)-30059503-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,30059503,"Garre E, et al. (2018) The Lsm1-7/Pat1 complex binds to stress-activated mRNAs and modulates the response to hyperosmotic shock. PLoS Genet. 14(7): e1007563.",154091,9411
FKH2,HEK2,"Hasegawa Y, et al. (2008)-18805955-Affinity Capture-RNA",physical,high-throughput,Hit,Affinity Capture-RNA,18805955,"Hasegawa Y, et al. (2008) Distinct roles for Khd1p in the localization and expression of bud-localized mRNAs in yeast. RNA 14(11):2333-47",2302,5093
CDC19,YPT31,"Babu M, et al. (2012)-22940862-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,22940862,"Babu M, et al. (2012) Interaction landscape of membrane-protein complexes in Saccharomyces cerevisiae. Nature 489(7417):585-9",5313,84932
MCM5,HHF1,"Lambert JP, et al. (2009)-19106085-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,19106085,"Lambert JP, et al. (2009) A novel proteomics approach for the discovery of chromatin-associated protein networks. Mol Cell Proteomics 8(4):870-82",4174,121504
ARP4,SAP185,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",440915,22870
GCS1,ACT1,"Blader IJ, et al. (1999)-10069805-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,10069805,"Blader IJ, et al. (1999) GCS1, an Arf guanosine triphosphatase-activating protein in Saccharomyces cerevisiae, is required for normal actin cytoskeletal organization in vivo and stimulates actin polymerization in vitro. Mol Biol Cell 10(3):581-96",55738,345651
LSM2,LSM8,"Ho Y, et al. (2002)-11805837-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,11805837,"Ho Y, et al. (2002) Systematic identification of protein complexes in Saccharomyces cerevisiae by mass spectrometry. Nature 415(6868):180-3",57819,51691
HHF2,HTB2,"Krogan NJ, et al. (2006)-16554755-Affinity Capture-MS",physical,high-throughput,Bait,Affinity Capture-MS,16554755,"Krogan NJ, et al. (2006) Global landscape of protein complexes in the yeast Saccharomyces cerevisiae. Nature 440(7084):637-43",8370,8349
STE11,STE50,"Yamamoto K, et al. (2010)-20932477-Reconstituted Complex",physical,manually curated,Hit,Reconstituted Complex,20932477,"Yamamoto K, et al. (2010) Dynamic control of yeast MAP kinase network by induced association and dissociation between the Ste50 scaffold and the Opy2 membrane anchor. Mol Cell 40(1):87-98",4214,22866
DOT1,HHT2,"Altaf M, et al. (2007)-18158898-Biochemical Activity",physical,manually curated,Bait,Biochemical Activity,18158898,"Altaf M, et al. (2007) Interplay of chromatin modifiers on a short basic patch of histone H4 tail defines the boundary of telomeric heterochromatin. Mol Cell 28(6):1002-14",84444,8352
SSO2,SEC1,"Grote E, et al. (2000)-11038189-Affinity Capture-Western",physical,manually curated,Bait,Affinity Capture-Western,11038189,"Grote E, et al. (2000) Ordering the final events in yeast exocytosis. J Cell Biol 151(2):439-52",8417,6812
YAP1801,SSB2,"Willmund F, et al. (2013)-23332755-Co-purification",physical,high-throughput,Hit,Co-purification,23332755,"Willmund F, et al. (2013) The cotranslational function of ribosome-associated Hsp70 in eukaryotic protein homeostasis. Cell 152(1-2):196-209",9892,3303
BOI1,TPK1,"Ptacek J, et al. (2005)-16319894-Biochemical Activity",physical,high-throughput,Hit,Biochemical Activity,16319894,"Ptacek J, et al. (2005) Global analysis of protein phosphorylation in yeast. Nature 438(7068):679-84",4703,6196
NAB2,LPD1,"Batisse J, et al. (2009)-19840948-Affinity Capture-RNA",physical,high-throughput,Bait,Affinity Capture-RNA,19840948,"Batisse J, et al. (2009) Purification of nuclear poly(A)-binding protein Nab2 reveals association with the yeast transcriptome and a messenger ribonucleoprotein core structure. J Biol Chem 284(50):34911-7",79882,2936
SRO9,SMT3,"Hannich JT, et al. (2005)-15590687-Affinity Capture-MS",physical,high-throughput,Hit,Affinity Capture-MS,15590687,"Hannich JT, et al. (2005) Defining the SUMO-modified proteome by multiple approaches in Saccharomyces cerevisiae. J Biol Chem 280(6):4102-10",23185,6613
